Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
Somalia,,,,,65.16
Somalia,Silver,3001,0.337,94.36,120
Somalia,Bronze,3370,,,196
Somalia,Gold,3428,,,196
Kyrgyzstan,,,,,300.8
Kyrgyzstan,Bronze,2750,0.71,198.8,239
Kyrgyzstan,Silver,3001,0.337,94.36,120
Kyrgyzstan,Bronze,3109,0.318,89.04,121
Kyrgyzstan,Silver,3178,0.24,67.2,120
Kyrgyzstan,Bronze,3193,0.634,177.52,213
Iraq,,,,,72.8
Iraq,Bronze,2217,0.475,133,161
Iraq,Bronze,2260,,,303
Iraq,Silver,3001,0.337,94.36,120
Iraq,Bronze,3193,0.634,177.52,213
Iraq,Gold,3428,,,303
Mongolia,,,,,72.8
Mongolia,Bronze,2579,1.003,280.84,337
Mongolia,Silver,3001,0.337,94.36,120
Mongolia,Bronze,3193,0.634,177.52,213
Mongolia,Silver,3225,0.534,149.52,179
Mongolia,Gold,3428,,,337
Myanmar,,,,,72.8
Myanmar,Bronze,2579,0.668,187.04,224
Myanmar,Silver,3001,0.337,94.36,120
Myanmar,Silver,3178,,,120
Myanmar,Bronze,3193,0.634,177.52,213
Myanmar,Gold,3428,,,224
Cameroon,,,,,92.46
Cameroon,Bronze,2263,0.49,137.2,165
Cameroon,Silver,2354,,,120
Cameroon,Bronze,2567,,,373
Cameroon,Silver,2709,,,123
Cameroon,Bronze,2750,1.843,516.04,619
Cameroon,Silver,3001,0.337,94.36,120
Cameroon,Bronze,3109,0.298,83.44,121
Cameroon,Silver,3168,,,122
Cameroon,Bronze,3193,0.634,177.52,213
Cameroon,Gold,3428,,,619
Madagascar,,,,,94.64
Madagascar,Bronze,2217,0.688,192.64,233
Madagascar,Bronze,2579,0.786,220.08,264
Madagascar,Silver,3001,0.337,94.36,120
Madagascar,Bronze,3109,,,121
Madagascar,Silver,3168,,,248
Madagascar,Gold,3428,,,264
Tanzania,,,,,97.19
Tanzania,Silver,2354,,,120
Tanzania,Bronze,2750,0.584,163.52,196
Tanzania,Silver,3001,0.337,94.36,120
Tanzania,Silver,3168,,,135
Tanzania,Gold,3428,,,196
Suriname,,,,,97.19
Suriname,Silver,3001,0.337,94.36,120
Suriname,Bronze,3370,,,196
Suriname,Gold,3428,,,196
Uzbekistan,,,,,97.19
Uzbekistan,Silver,3001,0.337,94.36,120
Uzbekistan,Bronze,3160,,,253
Uzbekistan,Silver,3168,,,185
Uzbekistan,Bronze,3193,0.634,177.52,213
Uzbekistan,Gold,3428,,,253
Tajikistan,,,,,99.01
Tajikistan,Bronze,2579,0.652,182.56,219
Tajikistan,Silver,3001,0.337,94.36,120
Tajikistan,Bronze,3193,0.634,177.52,213
Tajikistan,Silver,3225,0.294,82.32,121
Zimbabwe,,,,,101.92
Zimbabwe,Silver,3001,0.337,94.36,120
Zimbabwe,Bronze,3160,,,196
Zimbabwe,Gold,3428,,,196
Ethiopia,,,,,101.92
Ethiopia,Bronze,2750,0.584,163.52,196
Ethiopia,Silver,3001,0.337,94.36,120
Ethiopia,Silver,3168,,,121
Ethiopia,Gold,3428,,,196
Tunisia,,,,,101.92
Tunisia,Bronze,2750,0.584,163.52,196
Tunisia,Silver,3001,0.337,94.36,120
Tunisia,Silver,3168,,,134
Tunisia,Silver,3178,0.28,78.4,120
Tunisia,Gold,3428,,,196
Mauritius,,,,,101.92
Mauritius,Bronze,2579,0.584,163.52,196
Mauritius,Silver,3001,0.337,94.36,120
Mauritius,Gold,3428,,,196
Morocco,,,,,102.65
Morocco,Bronze,2217,1.409,394.52,477
Morocco,Bronze,2260,,,507
Morocco,Bronze,2567,,,373
Morocco,Silver,3001,0.337,94.36,120
Morocco,Silver,3178,,,120
Morocco,Bronze,3193,0.634,177.52,213
