Country,Rank,Agent_IDs,Original_USD,Converted_PKR,Final_PKR
France,bronze,2739,0.075,21.0,27.30
France,bronze,3160,0.016,4.48,5.82
France,bronze,"3389,3403",0.1,28.0,36.40
France,bronze,3335,0.185,51.8,67.34
France,bronze,2920,0.096,26.88,34.94
France,gold,3428,0.196,54.88,71.34
France,bronze,3270,0.11,30.8,40.04
Botswana,bronze,3001,0.138,38.64,50.23
Botswana,bronze,"3160,3370",0.203,56.84,73.89
Mexico,bronze,"2750,3193,3330,2260,3370,3414",0.163,45.64,59.33
Mexico,bronze,3001,0.138,38.64,50.23
Mexico,bronze,2920,0.124,34.72,45.14
Sri Lanka,bronze,3001,0.138,38.64,50.23
Sri Lanka,bronze,"3193,2260,3411,3370,3168",0.203,56.84,73.89
Sri Lanka,bronze,2920,0.155,43.4,56.42
Honduras,bronze,"2750,3193,3160,3370",0.203,56.84,73.89
Honduras,bronze,3001,0.138,38.64,50.23
Argentinas,bronze,"2750,2579,2286,3160,3193,3303,3393,2260",0.203,56.84,73.89
Argentinas,bronze,3001,0.138,38.64,50.23
Argentinas,bronze,2263,0.147,41.16,53.51
Argentinas,bronze,2738,0.195,54.6,70.98
Argentinas,bronze,"3237,3056,2556",0.008,2.24,2.91
Argentinas,bronze,2739,0.098,27.44,35.67
Argentinas,bronze,3335,0.074,20.72,26.94
Argentinas,bronze,2920,0.152,42.56,55.33
Argentinas,gold,3428,0.203,56.84,73.89
Myanmar,bronze,3001,0.138,38.64,50.23
Myanmar,bronze,"3160,3193,3330,2260,3411,3370,3168",0.203,56.84,73.89
Myanmar,bronze,2920,0.152,42.56,55.33
Tunisia,bronze,"2750,3160,3370",0.203,56.84,73.89
Tunisia,bronze,3001,0.138,38.64,50.23
Tunisia,bronze,3168,0.151,42.28,54.96
Timor-Leste,bronze,3001,0.138,38.64,50.23
Timor-Leste,bronze,"3160,3370,3168",0.203,56.84,73.89
Lesotho,bronze,3001,0.138,38.64,50.23
Lesotho,bronze,3370,0.203,56.84,73.89
Ecuador,bronze,"2750,3193,3160,2260,3370",0.203,56.84,73.89
Ecuador,bronze,3001,0.138,38.64,50.23
Ecuador,bronze,"3168,2920",0.152,42.56,55.33
El Salvador,bronze,"2750,3193,2260,3370",0.203,56.84,73.89
El Salvador,bronze,3001,0.138,38.64,50.23
El Salvador,bronze,2920,0.152,42.56,55.33
Morocco,bronze,"2750,2579,3193,2291,3160,3330,2260,3340,3393,3370",0.351,98.28,127.76
Morocco,bronze,3001,0.138,38.64,50.23
Morocco,bronze,2738,0.156,43.68,56.78
Morocco,bronze,2263,0.118,33.04,42.95
Morocco,bronze,2840,0.127,35.56,46.23
Morocco,bronze,3237,0.016,4.48,5.82
